card,temp,volt,ratio,above_edge,chi2,fft_peak_ratio,top_sv,mp_edge
Card_1,-20C,1.04V,0.9971119108097761,0,234.62912,4.629000623980782,5625.98486328125,5642.280271942862
Card_1,-20C,1.07V,1.0015605388582298,1,1238.2144,5.068439079399785,5650.93359375,5642.128832463802
Card_1,-20C,1.10V,0.9998872594340453,0,1018.8615679999999,5.309535568377194,5642.7705078125,5643.406748683259
Card_1,-20C,1.13V,0.9974282739787623,0,304.810752,4.4587212916803844,5628.8359375,5643.349085189309
Card_1,-20C,1.17V,0.9975061384854838,0,317.37241600000004,4.4471602125948655,5631.802734375,5645.882784165901
Card_1,0C,1.04V,0.9970400513914514,0,367.75167999999996,4.270754268363119,5623.826171875,5640.521826607154
Card_1,0C,1.07V,1.0016394646099902,1,1136.051456,4.629775273690281,5652.89111328125,5643.638567578129
Card_1,0C,1.10V,0.9935239347899973,0,228.612096,4.623689218641068,5607.3671875,5643.917565695322
Card_1,0C,1.13V,0.9947303354101195,0,470.941184,4.827370140407729,5611.88916015625,5641.618597911274
Card_1,0C,1.17V,0.9953416328007482,0,273.60179200000005,4.385270254227242,5614.77783203125,5641.05594200061
Card_1,100C,1.04V,1.0052546139140424,1,2485.590784,4.604371740515398,5669.53759765625,5639.902089662075
Card_1,100C,1.07V,0.9963930587260414,0,2120.8107520000003,4.406829595440139,5624.99609375,5645.358570584537
Card_1,100C,1.10V,0.9943318517720316,0,261.509888,4.509730157006565,5608.86962890625,5640.842761810856
Card_1,100C,1.13V,1.0000564713678055,1,342.79116799999997,4.784851561184561,5641.818359375,5641.499776166165
Card_1,100C,1.17V,0.9987651624927639,0,1504.345856,4.602412223716175,5631.89990234375,5638.862981851906
Card_1,40C,1.04V,0.9970883175330513,0,1544.007424,4.712862682992666,5624.1181640625,5640.541630231339
Card_1,40C,1.07V,0.997007695699613,0,268.28032,4.7275371243859485,5625.01416015625,5641.896431109397
Card_1,40C,1.10V,0.9954309479633545,0,263.32032,4.6588547645470015,5618.5302734375,5644.319462774367
Card_1,40C,1.13V,0.9984158769430415,0,303.926016,4.40588838335794,5636.50634765625,5645.449434271974
Card_1,40C,1.17V,0.9963792106809688,0,693.91616,4.551228137657051,5621.7880859375,5642.217366313099
Card_1,85C,1.04V,1.0020300899907542,1,1223.579648,4.483716599696568,5649.49853515625,5638.052780638931
Card_1,85C,1.07V,0.9928414204041549,0,475.015424,4.776907517440324,5602.119140625,5642.5115083781975
Card_1,85C,1.10V,0.9921865430637765,0,2120.695808,4.532494218045224,5598.8291015625,5642.919812512126
Card_1,85C,1.13V,0.9899166844757571,0,393.62688,4.719129611070392,5586.08447265625,5642.984465520494
Card_1,85C,1.17V,0.9954281617097359,0,2054.6247679999997,4.937403801426388,5614.09765625,5639.8822860378905
Card_7,-20C,1.04V,0.9981149306143167,0,1047.302912,4.538841766732434,5628.919921875,5639.550866562561
Card_7,-20C,1.07V,0.9909861625920375,0,263.621632,4.599425050243947,5592.3642578125,5643.23142836327
Card_7,-20C,1.10V,0.9983329168403571,0,240.13439999999997,4.5528066653084265,5630.8447265625,5640.24748816624
Card_7,-20C,1.13V,0.9992968517388183,0,409.75948800000003,4.324664612876028,5635.81591796875,5639.781520538361
Card_7,-20C,1.17V,0.9948856113235687,0,433.50195199999996,4.472547429822097,5614.9677734375,5643.832526603234
Card_7,0C,1.04V,1.000369292269051,1,2039.0131199999998,4.393173710814364,5643.1181640625,5641.034973457356
Card_7,0C,1.07V,0.9979803781825617,0,247.33286399999997,4.373546421521811,5631.09716796875,5642.492869673082
Card_7,0C,1.10V,0.9976747384921432,0,326.260736,4.784850486915435,5629.6474609375,5642.7683730330655
Card_7,0C,1.13V,0.9979730001941657,0,283.68460799999997,4.53452477427045,5628.724609375,5640.157206938339
Card_7,0C,1.17V,0.9957157436636378,0,903.51232,4.477314312093194,5618.6640625,5642.839433096317
Card_7,100C,1.04V,0.9965461463839644,0,1453.264896,4.516338038723709,5618.8984375,5638.372550923563
Card_7,100C,1.07V,1.0006005379323386,1,1751.2396800000001,4.4238483521198155,5641.56103515625,5638.175097141249
Card_7,100C,1.10V,0.9979116035476686,0,1063.9928320000001,4.392268009408879,5627.12109375,5638.897346964462
Card_7,100C,1.13V,0.9987249714079907,0,2003.3960960000002,4.989043135540694,5637.37060546875,5644.567590536213
Card_7,100C,1.17V,0.9949213398219945,0,745.640192,4.442981194059197,5618.17529296875,5646.8537442104935
Card_7,40C,1.04V,0.9942086074818894,0,382.533376,4.572996635900974,5607.267578125,5639.930630179283
Card_7,40C,1.07V,1.000779473724955,1,1588.658688,4.52623272277673,5647.4990234375,5643.100374967929
Card_7,40C,1.10V,0.9976990698876205,0,321.665792,4.401072379120097,5626.3916015625,5639.367391809084
Card_7,40C,1.13V,0.990024564711093,0,275.359488,4.503353228603226,5589.2685546875,5645.585729803128
Card_7,40C,1.17V,0.9969359125135066,0,359.89504000000005,4.623466408163514,5627.3662109375,5644.661948980858
Card_7,85C,1.04V,0.9923824721816255,0,1283.639296,4.742723605963388,5600.701171875,5643.692153855335
Card_7,85C,1.07V,0.9952506356598091,0,4122.496,4.568752332674851,5613.2001953125,5639.986546294628
Card_7,85C,1.10V,0.9931551684280554,0,1330.1944319999998,4.532168988907635,5603.345703125,5641.963996415439
Card_7,85C,1.13V,0.9985460114322897,0,961.308672,4.939636915289097,5628.82275390625,5637.018914964575
Card_7,85C,1.17V,0.9981279722786282,0,386.086144,4.556991408716762,5633.083984375,5643.649051849757
